tmdb_id;title;year;runtime;rating;cast;genres
"598";"City of God";2002;130;84;Alexandre Rodrigues|Leandro Firmino|Phellipe Haagensen|Douglas Silva|Jonathan Haagensen|Matheus Nachtergaele|Seu Jorge|Jefechander Suplino|Alice Braga;Drama|Crime
"510";"One Flew Over the Cuckoo's Nest";1975;133;84;Jack Nicholson|Louise Fletcher|Danny DeVito|William Redfield|Scatman Crothers|Brad Dourif|Christopher Lloyd|Will Sampson;Drama
"14537";"Harakiri";1962;135;84;Tatsuya Nakadai|Akira Ishihama|Shima Iwashita|Tetsurō Tamba|Masao Mishima|Ichirô Nakatani|Kei Satō|Yoshio Inaba|Hisashi Igawa;Action|Drama|History
"324857";"Spider-Man: Into the Spider-Verse";2018;117;84;Shameik Moore|Jake Johnson|Hailee Steinfeld|Mahershala Ali|Brian Tyree Henry|Lily Tomlin|Luna Lauren Velez|Zoë Kravitz|John Mulaney;Action|Adventure|Animation|Science_Fiction
"4935";"Howl's Moving Castle";2004;119;84;Chieko Baisho|Takuya Kimura|Akihiro Miwa|Tatsuya Gashûin|Ryunosuke Kamiki|Mitsunori Isaki|Yo Oizumi|Akio Otsuka|Daijirô Harada;Fantasy|Animation|Adventure
"157336";"Interstellar";2014;169;84;Matthew McConaughey|Anne Hathaway|Jessica Chastain|Bill Irwin|Ellen Burstyn|Michael Caine|Mackenzie Foy|Casey Affleck|John Lithgow;Adventure|Drama|Science_Fiction
"378064";"A Silent Voice: The Movie";2016;130;84;Miyu Irino|Saori Hayami|Aoi Yuki|Kensho Ono|Yuki Kaneko|Yui Ishikawa|Megumi Han|Toshiyuki Toyonaga|Mayu Matsuoka;Animation|Drama
"120";"The Lord of the Rings: The Fellowship of the Ring";2001;179;84;Elijah Wood|Ian McKellen|Liv Tyler|Viggo Mortensen|Sean Astin|Cate Blanchett|John Rhys-Davies|Billy Boyd|Dominic Monaghan;Adventure|Fantasy|Action
"40096";"A Dog's Will";2000;104;84;Matheus Nachtergaele|Selton Mello|Rogério Cardoso|Denise Fraga|Diogo Vilela|Luís Melo|Virginia Cavendish|Bruno Garcia|Enrique Díaz;Comedy|Drama|Fantasy
"1891";"The Empire Strikes Back";1980;124;84;Mark Hamill|Harrison Ford|Carrie Fisher|Billy Dee Williams|Anthony Daniels|David Prowse|Peter Mayhew|Kenny Baker|Frank Oz;Adventure|Action|Science_Fiction
"92321";"Hotarubi no Mori e";2011;45;84;Izumi Sawada|Ayane Sakura|Koki Uchiyama|Shinpachi Tsuji|Kanehira Yamamoto|Masanori Machida|Mami Uchida|Hiroki Goto;Romance|Animation|Fantasy
"423";"The Pianist";2002;150;84;Adrien Brody|Thomas Kretschmann|Frank Finlay|Maureen Lipman|Emilia Fox|Ed Stoppard|Julia Rayner|Jessica Kate Meyer|Michal Zebrowski;Drama|War
"553512";"Burn the Stage: The Movie";2018;85;84;Kim Nam-joon|Kim Seok-jin|Min Yoon-gi|Jung Ho-seok|Park Ji-min|Kim Tae-hyung|Jeon Jung-kook;Music
"121";"The Lord of the Rings: The Two Towers";2002;179;84;Elijah Wood|Ian McKellen|Liv Tyler|Viggo Mortensen|Sean Astin|Andy Serkis|Cate Blanchett|John Rhys-Davies|Bernard Hill;Adventure|Fantasy|Action
"244786";"Whiplash";2014;107;84;Miles Teller|J.K. Simmons|Paul Reiser|Melissa Benoist|Austin Stowell|Chris Mulkey|Nate Lang|Charlie Ian|Jayson Blair;Drama|Music
"164558";"One Direction: This Is Us";2013;92;84;Harry Styles|Niall Horan|Zayn Malik|Louis Tomlinson|Liam Payne|Simon Cowell|Martin Scorsese|Chris Rock|Jon Shone;Documentary|Music
"18491";"Neon Genesis Evangelion: The End of Evangelion";1997;87;84;Megumi Ogata|Megumi Hayashibara|Kotono Mitsuishi|Yuko Miyamura|Fumihiko Tachiki|Miki Nagasawa|Takehito Koyasu|Yuriko Yamaguchi;Animation|Science_Fiction|Action
"807";"Se7en";1995;127;84;Brad Pitt|Morgan Freeman|Gwyneth Paltrow|R. Lee Ermey|John C. McGinley|Julie Araskog|Mark Boone Junior|John Cassini|Reg E. Cathey;Crime|Mystery|Thriller
"27205";"Inception";2010;148;84;Leonardo DiCaprio|Joseph Gordon-Levitt|Ken Watanabe|Tom Hardy|Elliot Page|Dileep Rao|Cillian Murphy|Tom Berenger|Marion Cotillard;Action|Science_Fiction|Adventure
"599";"Sunset Boulevard";1950;110;84;William Holden|Gloria Swanson|Erich von Stroheim|Nancy Olson|Fred Clark|Lloyd Gough|Jack Webb|Franklyn Farnum|Larry J. Blake;Drama
"567";"Rear Window";1954;112;84;James Stewart|Grace Kelly|Thelma Ritter|Wendell Corey|Raymond Burr|Judith Evelyn|Ross Bagdasarian|Georgine Darcy|Irene Winston;Thriller|Mystery
"652837";"Josee, the Tiger and the Fish";2020;98;84;Taishi Nakagawa|Kaya Kiyohara|Yume Miyamoto|Kazuyuki Okitsu|Lynn|Chiemi Matsutera|Shintarou Moriyama|Lily;Animation|Drama|Romance
"255709";"Hope";2013;122;84;Sol Kyung-gu|Uhm Ji-won|Lee Re|Kim Sang-ho|Kim Hae-sook|Ra Mi-ran|Kwon Tae-won|Kang Shin-chul|Seo Hyun-woo;Drama
"73";"American History X";1998;119;84;Edward Norton|Edward Furlong|Beverly D'Angelo|Jennifer Lien|Ethan Suplee|Fairuza Balk|Avery Brooks|Elliott Gould|Stacy Keach;Drama
"3782";"Ikiru";1952;143;84;Takashi Shimura|Haruo Tanaka|Nobuo Kaneko|Bokuzen Hidari|Miki Odagiri|Shinichi Himori|Minoru Chiaki|Minosuke Yamada|Kamatari Fujiwara;Drama
"914";"The Great Dictator";1940;125;83;Charlie Chaplin|Paulette Goddard|Jack Oakie|Reginald Gardiner|Henry Daniell|Billy Gilbert|Grace Hayle|Carter DeHaven|Maurice Moscovitch;Comedy|War
"274";"The Silence of the Lambs";1991;119;83;Jodie Foster|Anthony Hopkins|Scott Glenn|Ted Levine|Anthony Heald|Brooke Smith|Diane Baker|Kasi Lemmons|Frankie Faison;Crime|Drama|Thriller
"128";"Princess Mononoke";1997;134;83;Youji Matsuda|Yuriko Ishida|Yūko Tanaka|Kaoru Kobayashi|Masahiko Nishimura|Tsunehiko Kamijô|Akihiro Miwa|Mitsuko Mori|Hisaya Morishige;Adventure|Fantasy|Animation
"851644";"20th Century Girl";2022;119;83;Kim You-jung|Byeon Woo-seok|Park Jung-woo|Roh Yoon-seo|Kim Sung-kyung|Jeong Seok-yong|Yoon Yi-reh|Jeon Hye-won|Kim Nu-rim;Romance|Drama
"533514";"Violet Evergarden: The Movie";2020;140;83;Yui Ishikawa|Daisuke Namikawa|Takehito Koyasu|Hidenobu Kiuchi|Haruka Tomatsu|Koki Uchiyama|Aya Endo|Minori Chihara|Kaori Mizuhashi;Animation|Fantasy|Romance|Drama
"901";"City Lights";1931;87;83;Charlie Chaplin|Virginia Cherrill|Harry Myers|Al Ernest Garcia|Hank Mann|Albert Austin|Henry Bergman|Buster Brodie;Comedy|Romance|Drama
"12493";"High and Low";1963;142;83;Toshirō Mifune|Tatsuya Nakadai|Kyōko Kagawa|Tatsuya Mihashi|Isao Kimura|Kenjirō Ishiyama|Takeshi Katō|Takashi Shimura|Jun Tazaki;Crime|Drama|Mystery|Thriller
"101";"Léon: The Professional";1994;111;83;Jean Reno|Natalie Portman|Gary Oldman|Danny Aiello|Peter Appel|Michael Badalucco|Ellen Greene|Elizabeth Regen|Carl J. Matusovich;Crime|Drama|Action
